"countrycode","coef","se","pval"
"ABW",-0.0711793523310054,0.0136628463567955,5.24783974395966e-7
"AFG",0.00321499656935842,0.0107133056653705,0.764459759272152
"AGO",-0.000604219026088347,0.00380055851374783,0.873865623545604
"ALB",-0.0646024726419045,0.00859341768229897,2.72762998383107e-12
"ARE",-0.131827161851258,0.0897657719296892,0.143734951192689
"ARG",-0.0163435907521479,0.00471299972539133,0.000659668063338795
"ARM",0.00797029283112293,0.00964794293233179,0.409858358309627
"AUS",0.00923532898761232,0.0117402111613016,0.432550094087103
"AUT",-0.0177647431380135,0.00978451486668314,0.0711341043408151
"AZE",-0.0134588390547775,0.0104127566480646,0.197866706461154
"BDI",0.0126278359967589,0.00925563846637018,0.174202647392573
"BEL",-0.0777035796332302,0.0144798268170675,2.50767657503753e-7
"BEN",-0.0871229840379769,0.0120805847031156,1.57295442463461e-11
"BFA",-0.0867830339016866,0.00894639724007968,4.31062774848929e-18
"BGD",-0.00218407659162548,0.00696062923452362,0.754062952944477
"BGR",-0.105333224374803,0.0134778035989053,4.79520789499639e-13
"BHR",-0.0394866699442563,0.0702055064903859,0.574529183439093
"BHS",-0.0990820732644479,0.0102069125385451,4.12171243267346e-18
"BIH",-0.0733814937197188,0.0113538240874889,9.73332386643983e-10
"BLR",0.00285471316792354,0.0127293395274824,0.822813204960848
"BLZ",-0.0592896952533689,0.0144628795417907,6.3156872936788e-5
"BOL",-0.0152172149527318,0.00739675267042507,0.0411340409171403
"BRA",-0.00607293052598793,0.00675867418633292,0.37012602039745
"BRB",-0.0711793523310054,0.0136628463567955,5.24783974395966e-7
"BRN",-0.00385138531663109,0.00438966172562148,0.381478332701408
"BTN",-0.0217569660926929,0.00745488113986709,0.00397681860810109
"BWA",0.0340103975152233,0.0183067491037041,0.0648669624033884
"CAF",-0.00464609285976505,0.0033784466788868,0.170812553937566
"CAN",-0.0370734451505068,0.00409245650364638,2.48442952566532e-16
"CHE",-0.0295946840380865,0.00927474236936634,0.00167976668956964
"CHL",0.00364565143052172,0.00575766640175351,0.527436608240163
"CHN",0.0100079064894202,0.0028878527434134,0.000664853645811143
"CIV",-0.0367728474755372,0.00710669958839331,6.18586675511219e-7
"CMR",-0.00199211793331761,0.00415299699238964,0.63204907374554
"COD",-0.000604219026088347,0.00380055851374783,0.873865623545604
"COG",-0.00913784160453833,0.00369092743623767,0.0142410274981808
"COL",-0.00163898036517399,0.00259826239996307,0.52899046675795
"COM",-0.030289293804559,0.00418479685371006,1.35629615055569e-11
"CPV",-0.030289293804559,0.00418479685371006,1.35629615055569e-11
"CRI",-0.029763207864184,0.00989569956822715,0.00301813246401832
"CUB",-0.0711793523310054,0.0136628463567955,5.24783974395966e-7
"CYP",0.0290231829672513,0.00731588876578359,0.000105735716764264
"CZE",-0.0319155695492727,0.0116475976976802,0.0067751875774662
"DEU",-0.078953298123063,0.0108257412125421,9.90858358861765e-12
"DJI",-0.111675816228027,0.0398991400487415,0.0056989170414412
"DNK",-0.0174539590059438,0.0217047501109622,0.422392955353276
"DOM",-0.0711793523310054,0.0136628463567955,5.24783974395966e-7
"DZA",0.0448321692697798,0.024147012195004,0.0650346052649101
"ECU",0.00996748139839815,0.0050596169226559,0.0504064096325946
"EGY",-0.182728047531015,0.0250248881362567,9.42655265051206e-12
"ERI",0.134290868864966,0.0644271594103541,0.0385691843943767
"ESP",-0.0243685957181089,0.00632063798778141,0.000161815689464994
"EST",0.0244583625730235,0.0173659519261131,0.160774062283853
"ETH",-0.0526599452218827,0.0118535709257432,1.56774551668806e-5
"FIN",-0.000499720465642524,0.0166524644486819,0.976094037089603
"FJI",-0.00613233650346273,0.00557939399527496,0.273223733754098
"FRA",-0.0194305028190087,0.00702037523282112,0.0062488245597471
"GAB",-0.00471045970083883,0.00207830610933973,0.0246386394568819
"GBR",-0.0431479998766886,0.0113082746079482,0.00018787800625909
"GEO",0.00829643210378237,0.00938166307033972,0.377727667712899
"GHA",-0.0625641100090263,0.00675562439658263,6.99223289353092e-17
"GIN",-0.0431468122227639,0.0059669349971428,1.41090735145851e-11
"GMB",-0.068318827548035,0.0131666521405376,5.7855209132063e-7
"GNB",-0.0431468122227639,0.0059669349971428,1.41090735145851e-11
"GNQ",-0.0871229840379769,0.0120805847031156,1.57295442463461e-11
"GRC",-0.0137274333784073,0.0115344757943493,0.235601307020344
"GTM",-0.0313164229664942,0.00919618307026069,0.000818495480660245
"GUY",-0.0790026384747587,0.013799132949648,4.37797113835324e-8
"HKG",0.0100079064894202,0.0028878527434134,0.000664853645811143
"HND",-0.0630237855167182,0.0128124766002025,1.98716952882131e-6
"HRV",-0.0990820732644479,0.0102069125385451,4.12171243267346e-18
"HTI",-0.0674538997913309,0.0136931394435076,1.9241901901558e-6
"HUN",-0.0936848960196647,0.0180928515107917,6.08281790265724e-7
"IDN",-0.00385138531663109,0.00438966172562148,0.381478332701408
"IND",-0.0553646696179523,0.00933316566970194,1.549807934973e-8
"IRL",-0.0878858294261357,0.0163293398839193,2.3263785732724e-7
"IRN",0.00515975394749585,0.0193647230417535,0.790203637520717
"IRQ",-0.0627894565984559,0.0261263961397319,0.0172869741538817
"ISL",0.119620578458506,0.0315185347485274,0.000202713040085846
"ISR",-0.045842223788691,0.020112648937164,0.0238514690229452
"ITA",-0.0132563519178476,0.00545429278583225,0.0160841168821186
"JAM",-0.0202659856687582,0.0105544978141198,0.0564587313585993
"JOR",-0.045842223788691,0.020112648937164,0.0238514690229452
"JPN",0.0115920143459348,0.00315231931634085,0.000312914482256224
"KAZ",0.0109304978725548,0.0077345932347827,0.159364156222687
"KEN",-0.0981158435603622,0.0101515038084091,5.39582550754971e-18
"KGZ",-0.0193549309746267,0.0078530174201221,0.0146745729411043
"KHM",-0.00858715789759498,0.00691360660945778,0.215864629425846
"KOR",-0.0380017352058345,0.00636059854241026,1.24837866865942e-8
"KWT",-0.22235413744721,0.0621363400891007,0.00044662429625961
"LAO",-0.0100677166575485,0.00796946242474565,0.208157040598632
"LBN",0.00922445377348967,0.0128908142858789,0.475196835488461
"LBR",-0.0154426053822864,0.00501651973523835,0.00241504952570903
"LBY",-0.182728047531015,0.0250248881362567,9.42655265051206e-12
"LCA",-0.0711793523310054,0.0136628463567955,5.24783974395966e-7
"LKA",0.00625257479544943,0.00794533369110744,0.432369940628285
"LSO",-0.139763421738461,0.0139890806496114,6.68964234722451e-19
"LTU",0.0188536097456056,0.0145869944738817,0.197880257843668
"LUX",-0.0979595964977397,0.0218021086571756,1.26794492768941e-5
"LVA",0.0105662764498643,0.0134279031809699,0.432404839120564
"MAC",0.0100079064894202,0.0028878527434134,0.000664853645811143
"MAR",-0.0756871436112299,0.0154886029100887,2.29653161270298e-6
"MDA",-0.0413353498266123,0.0178471157024132,0.0217065921101692
"MDG",-0.030289293804559,0.00418479685371006,1.35629615055569e-11
"MDV",0.00625257479544943,0.00794533369110744,0.432369940628285
"MEX",-0.0385578262646542,0.00688199716576599,8.0082234556911e-8
"MKD",-0.0520950005592386,0.0178717038653809,0.00402010625512883
"MLI",-0.0620027758758132,0.0182602903884531,0.000846691674834966
"MLT",-0.0132563519178476,0.00545429278583225,0.0160841168821186
"MMR",-0.0292190245534646,0.00788038623883936,0.000279940309558518
"MNE",-0.0646024726419045,0.00859341768229897,2.72762998383107e-12
"MNG",0.0111400328912,0.00749602703668713,0.139035186920888
"MOZ",-0.0787826836708197,0.00729526289358154,3.50632891330155e-21
"MRT",-0.0940812530956778,0.035905522753449,0.00955459950476615
"MUS",-0.030289293804559,0.00418479685371006,1.35629615055569e-11
"MWI",-0.0468931156557154,0.00654177499238328,2.0128078232529e-11
"MYS",0.000637508314335276,0.00514820613237605,0.901590269742695
"NAM",-0.080040390870367,0.0162444669779143,1.9144345111141e-6
"NER",0.0448321692697798,0.024147012195004,0.0650346052649101
"NGA",-0.0309188991124637,0.00321118720304941,6.81659827626473e-18
"NIC",-0.070095904746792,0.0110605978334954,1.89783496322052e-9
"NLD",-0.0794339061247372,0.0141669283533524,7.84184258218248e-8
"NOR",-0.0973950377294944,0.0142766431924073,1.38952736422264e-10
"NPL",-0.0217569660926929,0.00745488113986709,0.00397681860810109
"NZL",0.00923532898761232,0.0117402111613016,0.432550094087103
"OMN",0.134290868864966,0.0644271594103541,0.0385691843943767
"PAK",-0.000483601671615776,0.0188860621541983,0.979600392065319
"PAN",-0.0378715969739088,0.00770478145240388,2.01955160322708e-6
"PER",-0.00374058142716997,0.00428441989545258,0.383816699007151
"PHL",0.00619835712500345,0.00372239127787827,0.0976609902770902
"PNG",-0.00458266783263909,0.00504575635146233,0.365002777772806
"POL",-0.0191162520509805,0.0151773184808212,0.209507554472063
"PRT",-0.0627132302645361,0.0111360341313145,6.95163199040394e-8
"PRY",-0.0440066613761221,0.010863172125114,7.63831500276347e-5
"PSE",-0.045842223788691,0.020112648937164,0.0238514690229452
"PYF",-0.00613233650346273,0.00557939399527496,0.273223733754098
"QAT",-0.0394866699442563,0.0702055064903859,0.574529183439093
"ROU",-0.0496863887892694,0.0119251545942507,4.84051292828781e-5
"RUS",-0.0488455623334262,0.00692662751711729,3.87523586249159e-11
"RWA",0.0204887729599076,0.0108425409628059,0.0604468493395127
"SAU",-0.0344434605779667,0.0349217128755214,0.325337427872557
"SDN",-0.0420077168022192,0.0147758840009918,0.00499798082069533
"SEN",-0.136776675904601,0.0142580545211503,8.54890569975869e-18
"SGP",0.000637508314335276,0.00514820613237605,0.901590269742695
"SLB",-0.00613233650346273,0.00557939399527496,0.273223733754098
"SLE",-0.0143583518444164,0.00851249708595691,0.0934254240736227
"SLV",-0.105313179744254,0.0288437504751996,0.000344034972350858
"SRB",-0.0990820732644479,0.0102069125385451,4.12171243267346e-18
"STP",-0.00471045970083883,0.00207830610933973,0.0246386394568819
"SUR",-0.0714177093984898,0.0131856193818621,1.97503424982401e-7
"SVK",-0.0236001936134157,0.0109165100468717,0.0319776886427529
"SVN",-0.0769540670497325,0.0138822324214084,1.0698679095915e-7
"SWE",-0.0215971627841941,0.0054361657056729,0.000103431321324724
"SWZ",-0.0813198318617169,0.0151198912901251,2.36831776970675e-7
"SYR",-0.0627894565984559,0.0261263961397319,0.0172869741538817
"TCD",-0.0420077168022192,0.0147758840009918,0.00499798082069533
"TGO",-0.0666294713488301,0.0103201832682647,1.00998913245846e-9
"THA",-0.0292190245534646,0.00788038623883936,0.000279940309558518
"TJK",0.00321499656935842,0.0107133056653705,0.764459759272152
"TKM",0.0109304978725548,0.0077345932347827,0.159364156222687
"TLS",-0.00613233650346273,0.00557939399527496,0.273223733754098
"TON",-0.00613233650346273,0.00557939399527496,0.273223733754098
"TUN",-0.088326790607636,0.0212656791134365,5.09845057492065e-5
"TUR",0.0290231829672513,0.00731588876578359,0.000105735716764264
"TWN",-0.0380017352058345,0.00636059854241026,1.24837866865942e-8
"TZA",-0.07378788622437,0.00939517096028012,3.82091450182395e-13
"UGA",-0.0830216748442315,0.0128692897822368,1.03776444163609e-9
"UKR",-0.00433134970248204,0.0120901575021018,0.720582415551452
"URY",0.0085381876080938,0.0102735776694207,0.407053239789652
"USA",0.0111776761598512,0.00358634555394408,0.00213614439952465
"UZB",0.0109304978725548,0.0077345932347827,0.159364156222687
"VCT",-0.00613233650346273,0.00557939399527496,0.273223733754098
"VNM",-0.00387186883598473,0.00617798344828495,0.53165454654782
"VUT",-0.00613233650346273,0.00557939399527496,0.273223733754098
"WSM",-0.00613233650346273,0.00557939399527496,0.273223733754098
"YEM",0.192214536395284,0.0519549131386913,0.000288435552282879
"ZAF",-0.0735338858697938,0.00789758863208097,5.1058318709055e-17
"ZMB",-0.0899759937713778,0.00964359873728927,4.52333919350085e-17
"ZWE",-0.0160530540470955,0.0136386271307107,0.24077343250939
